Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2479.167

painting_1 | status=sold | winner=Mimic-Pro | winning_bid=1250
  turn 1: Mimic-Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 32: Mimic-Grok RAISE to 2900 (before=2800, leader_after=bidder_3)
  turn 33: Mimic-Opus RAISE to 3000 (before=2900, leader_after=bidder_4)
  turn 34: Mimic-Llama RAISE to 3250 (before=3000, leader_after=bidder_1)
  turn 35: Math-T2 RAISE to 3500 (before=3250, leader_after=bidder_2)
  turn 36: Mimic-Grok PASS (before=3500, leader_after=bidder_2)
  turn 37: Mimic-Opus RAISE to 4000 (before=3500, leader_after=bidder_4)
  turn 38: Mimic-Llama RAISE to 4250 (before=4000, leader_after=bidder_1)
  turn 39: Math-T2 RAISE to 4500 (before=4250, leader_after=bidder_2)
  turn 40: Mimic-Opus RAISE to 4750 (before=4500, leader_after=bidder_4)
  turn 41: Mimic-Llama RAISE to 5250 (before=4750, leader_after=bidder_1)
  turn 42: Math-T2 RAISE to 5500 (before=5250, leader_after=bidder_2)
  turn 43: Mimic-Opus RAISE to 5750 (before=5500, leader_after=bidder_4)
  turn 44: Mimic-Llama PASS (before=5750, leader_after=bidder_4)
  turn 45: Math-T2 RAISE to 6000 (before=5750, leader_after=bidder_2)
  turn 46: Mimic-Opus RAISE to 6250 (before=6000, leader_after=bidder_4)
  turn 47: Math-T2 PASS (before=6250, leader_after=bidder_4)
