Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2695.833

painting_1 | status=sold | winner=Mimic-Pro | winning_bid=1350
  turn 1: Mimic-Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 18: Mimic-Opus RAISE to 1200 (before=1000, leader_after=bidder_3)
  turn 19: Mimic-GPT-5.4 RAISE to 1300 (before=1200, leader_after=bidder_4)
  turn 20: Mimic-Pro RAISE to 1400 (before=1300, leader_after=bidder_5)
  turn 21: Mimic-Llama RAISE to 1600 (before=1400, leader_after=bidder_1)
  turn 22: Math-T3 RAISE to 1700 (before=1600, leader_after=bidder_2)
  turn 23: Mimic-Opus RAISE to 1800 (before=1700, leader_after=bidder_3)
  turn 24: Mimic-GPT-5.4 RAISE to 1900 (before=1800, leader_after=bidder_4)
  turn 25: Mimic-Pro RAISE to 2000 (before=1900, leader_after=bidder_5)
  turn 26: Mimic-Llama RAISE to 2100 (before=2000, leader_after=bidder_1)
  turn 27: Math-T3 RAISE to 2200 (before=2100, leader_after=bidder_2)
  turn 28: Mimic-Opus RAISE to 2300 (before=2200, leader_after=bidder_3)
  turn 29: Mimic-GPT-5.4 RAISE to 2400 (before=2300, leader_after=bidder_4)
  turn 30: Mimic-Pro RAISE to 2500 (before=2400, leader_after=bidder_5)
  turn 31: Mimic-Llama RAISE to 2700 (before=2500, leader_after=bidder_1)
  turn 32: Math-T3 RAISE to 2800 (before=2700, leader_after=bidder_2)
  turn 33: Mimic-Opus RAISE to 2900 (before=2800, leader_after=bidder_3)
  turn 34: Mimic-GPT-5.4 RAISE to 3100 (before=2900, leader_after=bidder_4)
  turn 35: Mimic-Pro PASS (before=3100, leader_after=bidder_4)
  turn 36: Mimic-Llama PASS (before=3100, leader_after=bidder_4)
  turn 37: Math-T3 RAISE to 3350 (before=3100, leader_after=bidder_2)
  turn 38: Mimic-Opus RAISE to 3600 (before=3350, leader_after=bidder_3)
  turn 39: Mimic-GPT-5.4 RAISE to 3850 (before=3600, leader_after=bidder_4)
  turn 40: Math-T3 RAISE to 4100 (before=3850, leader_after=bidder_2)
  turn 41: Mimic-Opus RAISE to 4350 (before=4100, leader_after=bidder_3)
  turn 42: Mimic-GPT-5.4 PASS (before=4350, leader_after=bidder_3)
  turn 43: Math-T3 RAISE to 4600 (before=4350, leader_after=bidder_2)
  turn 44: Mimic-Opus RAISE to 4850 (before=4600, leader_after=bidder_3)
  turn 45: Math-T3 RAISE to 5100 (before=4850, leader_after=bidder_2)
  turn 46: Mimic-Opus RAISE to 5600 (before=5100, leader_after=bidder_3)
  turn 47: Math-T3 RAISE to 5850 (before=5600, leader_after=bidder_2)
  turn 48: Mimic-Opus RAISE to 6100 (before=5850, leader_after=bidder_3)
  turn 49: Math-T3 RAISE to 6350 (before=6100, leader_after=bidder_2)
  turn 50: Mimic-Opus RAISE to 6600 (before=6350, leader_after=bidder_3)
  turn 51: Math-T3 PASS (before=6600, leader_after=bidder_3)
