Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2370.833

painting_1 | status=sold | winner=Mimic-Opus | winning_bid=1450
  turn 1: Mimic-Opus RAISE to 100 (before=0, leader_after=bidder_1)
  turn 19: Math-T2 RAISE to 1400 (before=1300, leader_after=bidder_4)
  turn 20: Mimic-Pro RAISE to 1500 (before=1400, leader_after=bidder_5)
  turn 21: Mimic-Opus RAISE to 1600 (before=1500, leader_after=bidder_1)
  turn 22: Mimic-Llama RAISE to 1700 (before=1600, leader_after=bidder_2)
  turn 23: Mimic-GPT-5.4 RAISE to 1800 (before=1700, leader_after=bidder_3)
  turn 24: Math-T2 RAISE to 1900 (before=1800, leader_after=bidder_4)
  turn 25: Mimic-Pro RAISE to 2000 (before=1900, leader_after=bidder_5)
  turn 26: Mimic-Opus RAISE to 2100 (before=2000, leader_after=bidder_1)
  turn 27: Mimic-Llama RAISE to 2200 (before=2100, leader_after=bidder_2)
  turn 28: Mimic-GPT-5.4 RAISE to 2400 (before=2200, leader_after=bidder_3)
  turn 29: Math-T2 RAISE to 2500 (before=2400, leader_after=bidder_4)
  turn 30: Mimic-Pro RAISE to 2600 (before=2500, leader_after=bidder_5)
  turn 31: Mimic-Opus RAISE to 2800 (before=2600, leader_after=bidder_1)
  turn 32: Mimic-Llama RAISE to 2900 (before=2800, leader_after=bidder_2)
  turn 33: Mimic-GPT-5.4 RAISE to 3100 (before=2900, leader_after=bidder_3)
  turn 34: Math-T2 RAISE to 3350 (before=3100, leader_after=bidder_4)
  turn 35: Mimic-Pro RAISE to 3600 (before=3350, leader_after=bidder_5)
  turn 36: Mimic-Opus PASS (before=3600, leader_after=bidder_5)
  turn 37: Mimic-Llama PASS (before=3600, leader_after=bidder_5)
  turn 38: Mimic-GPT-5.4 RAISE to 3850 (before=3600, leader_after=bidder_3)
  turn 39: Math-T2 RAISE to 4100 (before=3850, leader_after=bidder_4)
  turn 40: Mimic-Pro RAISE to 4350 (before=4100, leader_after=bidder_5)
  turn 41: Mimic-GPT-5.4 RAISE to 4600 (before=4350, leader_after=bidder_3)
  turn 42: Math-T2 RAISE to 4850 (before=4600, leader_after=bidder_4)
  turn 43: Mimic-Pro PASS (before=4850, leader_after=bidder_4)
  turn 44: Mimic-GPT-5.4 PASS (before=4850, leader_after=bidder_4)
